Feature,Mean_SHAP_Value
cat__House Style_2.5Unf,3.9708234e-06
cat__Heating_OthW,0.0
cat__Heating_Wall,0.0
cat__Sale Condition_AdjLand,0.0
num__Low Qual Fin SF,0.0
cat__Pool QC_Gd,0.0
cat__Heating_GasA,0.0
cat__Heating_GasW,0.0
cat__Sale Type_Con,0.0
cat__Heating_Floor,0.0
cat__BsmtFin Type 2_Unf,0.0
cat__BsmtFin Type 2_Rec,0.0
cat__BsmtFin Type 2_None,0.0
cat__BsmtFin Type 2_GLQ,0.0
cat__BsmtFin Type 2_ALQ,0.0
num__Pool Area,0.0
cat__BsmtFin Type 1_Rec,0.0
cat__BsmtFin Type 1_None,0.0
cat__BsmtFin Type 1_LwQ,0.0
cat__Sale Type_ConLw,0.0
cat__BsmtFin Type 1_BLQ,0.0
cat__Electrical_FuseA,0.0
cat__Fireplace Qu_Ex,0.0
cat__Electrical_FuseF,0.0
cat__Garage Cond_Ex,0.0
cat__Garage Qual_Fa,0.0
cat__Garage Qual_Gd,0.0
cat__Garage Qual_None,0.0
cat__Fence_GdPrv,0.0
cat__Pool QC_TA,0.0
cat__Garage Qual_TA,0.0
cat__Garage Cond_Fa,0.0
cat__Electrical_FuseP,0.0
cat__Garage Cond_Gd,0.0
cat__Garage Cond_None,0.0
cat__Garage Cond_Po,0.0
cat__Pool QC_None,0.0
num__Bsmt Full Bath,0.0
cat__Pool QC_Ex,0.0
cat__Garage Qual_Ex,0.0
cat__Garage Finish_None,0.0
cat__BsmtFin Type 1_ALQ,0.0
cat__Garage Finish_Fin,0.0
cat__Garage Type_BuiltIn,0.0
cat__Garage Type_Basment,0.0
cat__Fireplace Qu_TA,0.0
cat__Fence_MnWw,0.0
cat__Pool QC_Fa,0.0
cat__Sale Type_VWD,0.0
cat__Misc Feature_Elev,0.0
cat__Misc Feature_Gar2,0.0
cat__Functional_Min2,0.0
cat__Misc Feature_None,0.0
cat__Misc Feature_Othr,0.0
cat__Misc Feature_Shed,0.0
cat__Electrical_Mix,0.0
cat__Garage Type_2Types,0.0
cat__Mas Vnr Type_None,0.0
cat__Bsmt Exposure_None,0.0
cat__Neighborhood_Timber,0.0
cat__Lot Shape_IR1,0.0
cat__Alley_Pave,0.0
cat__Condition 1_RRAe,0.0
cat__Condition 1_RRAn,0.0
cat__Condition 1_RRNe,0.0
cat__Condition 2_Feedr,0.0
cat__Condition 2_Norm,0.0
cat__Condition 2_PosA,0.0
cat__Condition 2_PosN,0.0
cat__Condition 2_RRAe,0.0
cat__Condition 2_RRAn,0.0
cat__Condition 2_RRNn,0.0
cat__Bldg Type_1Fam,0.0
cat__Bldg Type_2fmCon,0.0
cat__Alley_None,0.0
cat__Bldg Type_TwnhsE,0.0
cat__House Style_1.5Fin,0.0
cat__House Style_1.5Unf,0.0
cat__Alley_Grvl,0.0
cat__House Style_2.5Fin,0.0
cat__House Style_2Story,0.0
cat__Neighborhood_Veenker,0.0
cat__Neighborhood_StoneBr,0.0
cat__Bsmt Exposure_Mn,0.0
cat__Neighborhood_Somerst,0.0
cat__Land Contour_Lvl,0.0
cat__Utilities_AllPub,0.0
cat__Utilities_NoSeWa,0.0
cat__Lot Config_CulDSac,0.0
cat__Lot Config_FR2,0.0
cat__Land Slope_Mod,0.0
cat__Neighborhood_Blmngtn,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_Greens,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Neighborhood_Landmrk,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_NAmes,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_NWAmes,0.0
cat__Neighborhood_NoRidge,0.0
cat__Neighborhood_NridgHt,0.0
cat__Lot Shape_IR2,0.0
cat__Neighborhood_Sawyer,0.0
cat__House Style_SFoyer,0.0
cat__House Style_SLvl,0.0
cat__Street_Pave,0.0
cat__Roof Style_Hip,0.0
cat__Exterior 2nd_PreCast,0.0
cat__Exterior 2nd_Stone,0.0
cat__Exterior 2nd_Stucco,0.0
cat__Mas Vnr Type_BrkCmn,0.0
cat__Mas Vnr Type_BrkFace,0.0
cat__Mas Vnr Type_CBlock,0.0
cat__Mas Vnr Type_Stone,0.0
cat__Foundation_PConc,0.0
cat__Foundation_Slab,0.0
cat__Foundation_Stone,0.0
cat__Foundation_Wood,0.0
cat__Bsmt Qual_Gd,0.0
cat__Bsmt Qual_Po,0.0
cat__Bsmt Qual_TA,0.0
cat__Bsmt Cond_Ex,0.0
cat__Bsmt Cond_Fa,0.0
cat__Bsmt Cond_Gd,0.0
cat__Bsmt Cond_None,0.0
cat__Bsmt Cond_Po,0.0
cat__Bsmt Cond_TA,0.0
cat__Bsmt Exposure_Av,0.0
cat__Exterior 2nd_MetalSd,0.0
cat__Exterior 2nd_ImStucc,0.0
cat__Exterior 2nd_HdBoard,0.0
cat__Exterior 1st_CBlock,0.0
cat__Roof Style_Mansard,0.0
cat__Roof Style_Shed,0.0
cat__Roof Matl_ClyTile,0.0
cat__Roof Matl_Membran,0.0
cat__Roof Matl_Metal,0.0
cat__Roof Matl_Roll,0.0
cat__Roof Matl_Tar&Grv,0.0
cat__Roof Matl_WdShngl,0.0
cat__Exterior 1st_AsphShn,0.0
cat__Exterior 1st_ImStucc,0.0
cat__Exterior 2nd_CmentBd,0.0
cat__Exterior 1st_PreCast,0.0
cat__Exterior 1st_Stone,0.0
cat__MS Zoning_I (all),0.0
cat__Exterior 1st_Wd Sdng,0.0
cat__Exterior 1st_WdShing,0.0
cat__Exterior 2nd_AsbShng,0.0
cat__Exterior 2nd_AsphShn,0.0
cat__Exterior 2nd_Brk Cmn,0.0
cat__Exterior 2nd_CBlock,0.0
cat__Exterior 1st_BrkComm,0.0
