Model,RMSE,R2 Score,CV RMSE
Linear Regression,2.839537741805697e-05,0.9999999956423251,2.4643223273946858e-05
Ridge Regression,0.0010416852010986743,0.9999941354792765,0.0012817715119702127
Lasso Regression,0.0010784000124946231,0.9999937147970582,0.0010005699629987903
Random Forest,0.007010815296162127,0.9997343580939709,0.019626559158503004
Gradient Boosting,0.004853048126870225,0.9998727116277002,0.016286244232242435
